label,model,group,train_seed,noise_aware,threat,level,pert_seed,acc
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.16,0,56.535
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.16,1,56.2975
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.16,2,56.785
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.2,0,51.8125
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.2,1,51.6925
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.2,2,52.23
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,occlusion,0,0,99.99
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,occlusion,0,1,99.99
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,occlusion,0,2,99.99
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,occlusion,40,0,99.185
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,occlusion,40,1,99.1475
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,occlusion,40,2,99.15
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,occlusion,80,0,97.5525
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,occlusion,80,1,97.535
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,occlusion,80,2,97.635
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,occlusion,100,0,94.7875
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,occlusion,100,1,94.895
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,occlusion,100,2,94.7325
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.0,0,99.995
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.0,1,99.995
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.0,2,99.995
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.06,0,67.33
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.06,1,67.555
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.06,2,67.4
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.08,0,52.155
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.08,1,52.12
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.08,2,51.99
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.1,0,50.1025
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.1,1,50.1
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.1,2,50.1325
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.12,0,50.005
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.12,1,50.0175
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.12,2,50.0075
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.14,0,50.0
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.14,1,50.0
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.14,2,50.0
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.16,0,50.0
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.16,1,50.0
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.16,2,50.0
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.2,0,50.0
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.2,1,50.0
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.2,2,50.0
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,occlusion,0,0,99.995
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,occlusion,0,1,99.995
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,occlusion,0,2,99.995
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,occlusion,40,0,98.665
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,occlusion,40,1,98.62
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,occlusion,40,2,98.6775
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,occlusion,80,0,96.825
