C_x,C_y,Label,Q_x,Q_y,Label
-44.312763,-27.694485,1,-0.7976016,-1.717089,1
35.100117,-15.810263,0,-34.34329,-37.072414,0
45.15318,10.647284,0,40.74421,-19.61297,0
0.3437196,-48.78051,1,27.627617,30.17933,1
-25.745956,9.619473,1,34.39009,27.056177,1
24.32291,53.00977,0,-20.658504,-26.017775,0
17.50021,46.73864,0,-48.235977,-5.8012714,0
69.8439,-1.3544502,0,-47.106884,-25.821634,0
-26.953876,-4.479519,1,-13.201847,50.945633,1
36.302364,-3.615789,0,-55.12714,-18.878143,0
-6.2440104,-41.61667,1,6.661184,6.7493505,1
32.306934,45.681393,0,56.25547,-20.453243,0
-23.885815,39.78389,1,8.457438,23.971275,1
-38.553616,-6.474937,1,33.41097,17.725218,1
10.859023,25.737806,0,-55.098576,-10.96157,0
-8.884017,-49.790855,1,30.362658,45.569252,1
-24.489426,40.104076,1,23.148901,1.322341,1
-37.30488,2.4806597,1,1.4343278,37.01853,1
67.824745,1.7152803,0,-45.754246,-38.55267,0
71.67751,1.3114727,0,21.759283,-48.74678,0
24.992147,43.370056,0,-50.112576,-32.29993,0
36.03719,38.88481,0,-51.921238,-38.239563,0
-73.398155,27.25982,1,-9.07422,51.473988,1
46.257984,7.343958,0,-35.10915,-16.366093,0
76.005165,-19.883274,0,57.49004,-27.39241,0
38.625767,-14.149009,0,-49.248413,-10.745471,0
47.862946,16.152456,0,18.252724,-39.961006,0
-39.540993,-3.9320076,1,-13.579625,11.500433,1
63.584232,10.672076,0,-44.10932,-27.735035,0
61.580173,14.920841,0,-47.386257,-12.628659,0
-4.352998,6.7613206,1,0.04699443,42.728573,1
-24.554014,35.773922,1,-17.052332,31.240845,1
32.84768,51.3191,0,25.960203,-37.66085,0
-14.06861,-24.41216,1,2.7305086,-1.0647501,1
35.636486,46.557976,0,35.304928,-29.776814,0
-31.699497,25.717962,1,3.52538,59.25555,1
-70.856255,-7.9961853,1,11.283635,-4.480865,1
-2.7752702,-51.429623,1,5.161309,11.118333,1
-57.938633,-24.11925,1,22.338234,54.87426,1
-44.805115,-30.930761,1,-7.012536,14.281572,1
-60.99102,-28.506483,1,-1.6586578,37.961468,1
-45.143417,-24.439642,1,-12.470875,56.54193,1
0.69483435,1.9421175,1,18.18976,36.976006,1
56.827663,12.016988,0,-34.841022,-23.19649,0
-66.728966,-12.332097,1,6.442677,56.183132,1
27.594698,-32.57551,0,-56.148827,-20.998724,0
-65.437645,-0.08182412,1,31.630596,48.98374,1
32.79922,-33.00172,0,-32.72996,-31.863836,0
-68.67433,20.394304,1,-6.3625746,22.48973,1
-40.133324,24.437675,1,6.9959993,60.32831,1
2.2539327,36.054935,0,-43.544624,-2.7190013,0
11.608882,44.929604,0,-26.52653,-35.923626,0
-63.85734,2.064696,1,2.3201325,31.239239,1
-34.7034,20.664171,1,10.418218,10.067146,1
63.323624,7.0515757,0,-33.333015,-15.704487,0
41.60684,-8.784468,0,-43.544815,-12.417983,0
91.50991,-13.44118,0,59.027355,-20.582037,0
-4.397674,13.4051695,1,-7.086671,1.0407764,1
41.654263,7.670014,0,-19.952711,-43.593033,0
34.662094,38.927673,0,-25.109268,-16.528494,0
-63.352055,10.487866,1,23.028912,10.655261,1
37.185047,10.266089,0,23.933784,-57.3286,0
-66.45312,0.22866571,1,-12.198177,42.570396,1
-34.18879,22.237755,1,-22.423182,33.737083,1
-70.607285,24.653057,1,-5.2465477,3.9302487,1
-31.71314,37.85657,1,3.0676513,20.054352,1
-7.314655,-15.824175,1,-7.3411155,24.342735,1
73.464005,-20.968834,0,52.20077,-13.002294,0
-13.514759,-31.954628,1,-24.09532,18.58766,1
38.395237,-27.668524,0,-27.910666,-47.138462,0
35.210327,-10.06729,0,14.319906,-40.488766,0
-13.567075,-32.52976,1,-31.265188,27.525753,1
11.139289,23.21624,0,-17.946505,-29.696987,0
33.251637,-22.012115,0,-22.074192,-36.252853,0
43.716175,16.858778,0,26.761255,-33.823547,0
-53.88199,-21.972404,1,-13.6127825,41.31795,1
8.756179,28.798506,0,-45.62274,-36.94442,0
30.880068,-27.607635,0,-21.076553,-20.421072,0
-52.287704,-27.485224,1,-6.7702374,45.018837,1
