[log] 2026-06-11T23:28:32 writing console to experiments_revision/logs/train_qresnet_20260611_232832.log
--> [INFO] Found 200000 images. Classes: ['benign', 'malicious']
--> [INFO] Stratified split: train=140000 val=20000 test=40000
[qresnet_seed0] epoch 2/5 batch 1901/2188 loss=0.2230 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 1926/2188 loss=0.2223 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 1951/2188 loss=0.2215 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 1976/2188 loss=0.2206 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 2001/2188 loss=0.2196 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 2026/2188 loss=0.2186 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 2051/2188 loss=0.2176 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 2076/2188 loss=0.2165 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 2101/2188 loss=0.2155 (900 img/s)
[qresnet_seed0] epoch 2/5 batch 2126/2188 loss=0.2145 (900 img/s)
[qresnet_seed0] epoch 2/5 batch 2151/2188 loss=0.2134 (900 img/s)
[qresnet_seed0] epoch 2/5 batch 2176/2188 loss=0.2124 (899 img/s)
[qresnet_seed0] epoch 2/5 batch 2188/2188 loss=0.2119 (899 img/s)
[qresnet_seed0] epoch 2/5 loss=0.2119 val_acc=99.94 val_auc=0.9999
[qresnet_seed0] epoch 3/5 batch 1/2188 loss=0.1217 (122 img/s)
[qresnet_seed0] epoch 3/5 batch 26/2188 loss=0.1213 (694 img/s)
[qresnet_seed0] epoch 3/5 batch 51/2188 loss=0.1194 (771 img/s)
[qresnet_seed0] epoch 3/5 batch 76/2188 loss=0.1176 (799 img/s)
[qresnet_seed0] epoch 3/5 batch 101/2188 loss=0.1160 (814 img/s)
[qresnet_seed0] epoch 3/5 batch 126/2188 loss=0.1143 (827 img/s)
[qresnet_seed0] epoch 3/5 batch 151/2188 loss=0.1131 (835 img/s)
[qresnet_seed0] epoch 3/5 batch 176/2188 loss=0.1118 (842 img/s)
[qresnet_seed0] epoch 3/5 batch 201/2188 loss=0.1107 (848 img/s)
[qresnet_seed0] epoch 3/5 batch 226/2188 loss=0.1097 (852 img/s)
[qresnet_seed0] epoch 3/5 batch 251/2188 loss=0.1085 (855 img/s)
[qresnet_seed0] epoch 3/5 batch 276/2188 loss=0.1076 (858 img/s)
[qresnet_seed0] epoch 3/5 batch 301/2188 loss=0.1064 (860 img/s)
[qresnet_seed0] epoch 3/5 batch 326/2188 loss=0.1055 (862 img/s)
[qresnet_seed0] epoch 3/5 batch 351/2188 loss=0.1045 (864 img/s)
[qresnet_seed0] epoch 3/5 batch 376/2188 loss=0.1036 (863 img/s)
[qresnet_seed0] epoch 3/5 batch 401/2188 loss=0.1026 (864 img/s)
[qresnet_seed0] epoch 3/5 batch 426/2188 loss=0.1017 (866 img/s)
[qresnet_seed0] epoch 3/5 batch 451/2188 loss=0.1008 (865 img/s)
[qresnet_seed0] epoch 3/5 batch 476/2188 loss=0.1000 (866 img/s)
[qresnet_seed0] epoch 3/5 batch 501/2188 loss=0.0992 (867 img/s)
[qresnet_seed0] epoch 3/5 batch 526/2188 loss=0.0984 (866 img/s)
[qresnet_seed0] epoch 3/5 batch 551/2188 loss=0.0977 (867 img/s)
[qresnet_seed0] epoch 3/5 batch 576/2188 loss=0.0969 (868 img/s)
[qresnet_seed0] epoch 3/5 batch 601/2188 loss=0.0961 (871 img/s)
[qresnet_seed0] epoch 3/5 batch 626/2188 loss=0.0954 (872 img/s)
[qresnet_seed0] epoch 3/5 batch 651/2188 loss=0.0946 (872 img/s)
[qresnet_seed0] epoch 3/5 batch 676/2188 loss=0.0938 (873 img/s)
[qresnet_seed0] epoch 3/5 batch 701/2188 loss=0.0932 (874 img/s)
[qresnet_seed0] epoch 3/5 batch 726/2188 loss=0.0925 (874 img/s)
[qresnet_seed0] epoch 3/5 batch 751/2188 loss=0.0917 (874 img/s)
[qresnet_seed0] epoch 3/5 batch 776/2188 loss=0.0911 (873 img/s)
[qresnet_seed0] epoch 3/5 batch 801/2188 loss=0.0903 (873 img/s)
[qresnet_seed0] epoch 3/5 batch 826/2188 loss=0.0896 (874 img/s)
[qresnet_seed0] epoch 3/5 batch 851/2188 loss=0.0889 (874 img/s)
[qresnet_seed0] epoch 3/5 batch 876/2188 loss=0.0883 (874 img/s)
[qresnet_seed0] epoch 3/5 batch 901/2188 loss=0.0876 (875 img/s)
[qresnet_seed0] epoch 3/5 batch 926/2188 loss=0.0870 (875 img/s)
[qresnet_seed0] epoch 3/5 batch 951/2188 loss=0.0863 (875 img/s)
[qresnet_seed0] epoch 3/5 batch 976/2188 loss=0.0857 (875 img/s)
[qresnet_seed0] epoch 3/5 batch 1001/2188 loss=0.0851 (876 img/s)
[qresnet_seed0] epoch 3/5 batch 1026/2188 loss=0.0845 (876 img/s)
[qresnet_seed0] epoch 3/5 batch 1051/2188 loss=0.0839 (876 img/s)
[qresnet_seed0] epoch 3/5 batch 1076/2188 loss=0.0834 (876 img/s)
[qresnet_seed0] epoch 3/5 batch 1101/2188 loss=0.0828 (876 img/s)
[qresnet_seed0] epoch 3/5 batch 1126/2188 loss=0.0822 (876 img/s)
[qresnet_seed0] epoch 3/5 batch 1151/2188 loss=0.0817 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1176/2188 loss=0.0811 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1201/2188 loss=0.0805 (878 img/s)
[qresnet_seed0] epoch 3/5 batch 1226/2188 loss=0.0800 (878 img/s)
[qresnet_seed0] epoch 3/5 batch 1251/2188 loss=0.0795 (878 img/s)
[qresnet_seed0] epoch 3/5 batch 1276/2188 loss=0.0790 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1301/2188 loss=0.0784 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1326/2188 loss=0.0779 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1351/2188 loss=0.0774 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1376/2188 loss=0.0769 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1401/2188 loss=0.0764 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1426/2188 loss=0.0760 (877 img/s)
[qresnet_seed0] epoch 3/5 batch 1451/2188 loss=0.0755 (878 img/s)
[qresnet_seed0] epoch 3/5 batch 1476/2188 loss=0.0750 (878 img/s)
[qresnet_seed0] epoch 3/5 batch 1501/2188 loss=0.0745 (879 img/s)
[qresnet_seed0] epoch 3/5 batch 1526/2188 loss=0.0741 (879 img/s)
[qresnet_seed0] epoch 3/5 batch 1551/2188 loss=0.0736 (880 img/s)
[qresnet_seed0] epoch 3/5 batch 1576/2188 loss=0.0732 (880 img/s)
[qresnet_seed0] epoch 3/5 batch 1601/2188 loss=0.0727 (879 img/s)
